,Id,imdbId,primaryTitle,startYear,runtimeMinutes,IMDB Score,Genre
865,865,1176244,Valentino: The Last Emperor,2008,96,7.2,3
593,593,780571,Mr. Brooks,2007,120,7.4,2
353,353,106856,Falling Down,1993,113,7.6,2
175,175,483836,What Remains,2005,80,7.9,3
1762,1762,271003,Ik???ngut,2000,90,6.4,0
1764,1764,313792,Anything Else,2003,108,6.4,1
2204,2204,282593,I'm with Lucy,2002,90,6.0,1
1403,1403,210609,China Gate,1998,175,6.7,0
2013,2013,1231586,A Good Old Fashioned Orgy,2011,95,6.2,1
2966,2966,144528,Nutty Professor II: The Klumps,2000,106,4.3,1
2020,2020,1456941,"Tomorrow, When the War Began",2010,103,6.2,0
1078,1078,380419,Hollands licht,2003,95,7.0,3
2499,2499,243736,40 Days and 40 Nights,2002,96,5.6,1
1406,1406,238066,Bounce: Behind the Velvet Rope,2000,71,6.7,3
756,756,1572309,Mount St. Elias,2009,100,7.3,3
254,254,1568346,The Girl with the Dragon Tattoo,2011,158,7.8,2
2004,2004,841922,Los bastardos,2008,90,6.2,2
14,14,102926,The Silence of the Lambs,1991,118,8.6,2
2988,2988,2175669,Get Lucky,2013,86,4.2,0
2485,2485,3410834,Allegiant,2016,120,5.7,0
1161,1161,118887,Cop Land,1997,105,6.9,2
1240,1240,2636522,The Unbelievers,2013,77,6.9,3
1735,1735,110944,Rapa Nui,1994,107,6.4,0
2103,2103,313737,Two Weeks Notice,2002,101,6.1,1
294,294,458425,McLibel,2005,85,7.7,3
2615,2615,2978102,Term Life,2016,93,5.5,2
91,91,276919,Dogville,2003,178,8.1,2
3053,3053,368580,The Impossible,2004,139,3.5,0
1286,1286,338095,High Tension,2003,91,6.8,2
689,689,119256,Hard Eight,1996,102,7.3,2
645,645,2286630,Line of Sight,2012,60,7.4,3
638,638,1829648,At Sea,2007,60,7.4,3
2292,2292,417001,Must Love Dogs,2005,98,5.9,1
382,382,424024,Darwin's Nightmare,2004,107,7.6,3
1942,1942,3855240,Clean Hands,2015,108,6.3,2
2059,2059,3631430,Farmland,2014,77,6.2,3
1868,1868,257756,High Crimes,2002,115,6.3,2
2877,2877,294289,American Adobo,2001,104,4.8,1
1551,1551,837106,Arn: The Knight Templar,2007,139,6.6,0
373,373,303348,How to Draw a Bunny,2002,90,7.6,3
1570,1570,1621045,Think Like a Man,2012,122,6.6,1
1791,1791,1094277,Staub,2007,90,6.4,3
1392,1392,114597,Synthetic Pleasures,1995,85,6.7,3
1361,1361,2287170,Man from Reno,2014,111,6.8,2
3061,3061,103923,Captain America,1990,97,3.3,0
761,761,1661420,Polisse,2011,127,7.3,2
859,859,1038913,Killing Kasztner,2008,120,7.2,3
199,199,2131674,50 Children: The Rescue Mission of Mr. And Mrs. Kraus,2013,62,7.9,3
699,699,211219,Barenaked in America,1999,89,7.3,3
2056,2056,3505682,Bolshoi Babylon,2015,86,6.2,3
1492,1492,4370922,(T)ERROR,2015,84,6.7,3
2259,2259,101545,Career Opportunities,1991,83,5.9,1
2242,2242,2203939,The Other Woman,2014,109,6.0,1
2792,2792,183808,Spanish Judges,2000,98,5.1,2
2149,2149,1700467,The Art of Love,2011,85,6.1,1
2968,2968,290014,Outside the Law,2002,90,4.3,0
2655,2655,1258972,The Man with the Iron Fists,2012,95,5.4,0
1038,1038,2488042,Stripped,2014,85,7.1,3
261,261,1827487,Once Upon a Time in Anatolia,2011,157,7.8,2
2412,2412,4286666,In-Lawfully Yours,2016,85,5.8,1
295,295,465472,The Gerson Miracle,2004,91,7.7,3
605,605,1072756,Buffalo Girls,2012,65,7.4,3
656,656,2852470,The Missing Picture,2013,92,7.4,3
2660,2660,1619277,Conception,2011,88,5.4,1
1631,1631,127722,Another Day in Paradise,1998,101,6.5,2
1377,1377,3890278,Red Amnesia,2014,116,6.8,2
2773,2773,2040504,Shirin in Love,2014,104,5.2,1
1357,1357,2130033,Fakta Ladh Mhana,2011,145,6.8,0
740,740,1194238,Polytechnique,2009,77,7.3,2
330,330,1974254,Far Out Isn't Far Enough: The Tomi Ungerer Story,2012,98,7.7,3
558,558,117913,A Time to Kill,1996,149,7.4,2
2398,2398,2014346,Somebody Up There Likes Me,2012,76,5.8,1
2067,2067,104984,Nervous Ticks,1992,95,6.1,1
2036,2036,2188750,A Hand of Peace: Pope Pius XII and the Holocaust,2008,55,6.2,3
1185,1185,399201,The Island,2005,136,6.9,0
2133,2133,1033643,What Happens in Vegas,2008,99,6.1,1
1648,1648,365907,A Walk Among the Tombstones,2014,114,6.5,2
1362,1362,2332883,Deepsea Challenge 3D,2014,91,6.8,3
1505,1505,111280,Star Trek: Generations,1994,118,6.6,0
2977,2977,3499424,Hercules Reborn,2014,95,4.3,0
980,980,780577,Official Rejection,2009,108,7.1,3
872,872,1223143,Rebirth of a Nation,2007,100,7.2,3
1909,1909,1440728,The American,2010,105,6.3,2
804,804,102975,Star Trek VI: The Undiscovered Country,1991,110,7.2,0
2124,2124,882969,The Golden Boys,2008,97,6.1,1
1323,1323,1043845,Fierce Light: When Spirit Meets Action,2008,90,6.8,3
229,229,481269,Carmen and Geoffrey,2005,80,7.8,3
2351,2351,212517,Let It Snow,1999,90,5.8,1
2016,2016,1322333,The Burma Conspiracy,2011,114,6.2,0
1893,1893,816437,Bloody Tie,2006,117,6.3,2
2642,2642,305711,Just Married,2003,95,5.4,1
940,940,129387,There's Something About Mary,1998,119,7.1,1
1954,1954,107665,Needful Things,1993,120,6.2,2
2134,2134,1038915,Shoot on Sight,2007,110,6.1,2
870,870,1217637,Anything for Her,2008,96,7.2,2
1141,1141,4003774,Meet the Mormons,2014,78,7.0,3
1629,1629,120890,Wild Things,1998,108,6.5,2
2075,2075,115710,Blood and Wine,1996,101,6.1,2
124,124,4449576,Tomorrow,2015,118,8.1,3
2562,2562,100232,Navy Seals,1990,113,5.5,0
2724,2724,2193215,The Counselor,2013,117,5.3,2
1430,1430,450664,You Are So Beautiful,2005,97,6.7,1
5,5,230010,At the River I Stand,1993,56,8.7,3
2148,2148,1667100,Second Chance,2011,87,6.1,1
580,580,410097,Hustle & Flow,2005,116,7.4,2
2055,2055,3478232,Mythica: The Darkspore,2015,107,6.2,0
1368,1368,2771372,Veronica Mars,2014,107,6.8,2
1649,1649,373450,Where the Truth Lies,2005,107,6.5,2
2125,2125,910905,In the Electric Mist,2009,117,6.1,2
289,289,422349,Great Communist Bank Robbery,2004,75,7.7,3
2972,2972,1453403,Shadows & Lies,2010,100,4.3,2
455,455,6028446,The Magnitsky Act. Behind the Scenes,2016,152,7.6,3
1018,1018,1618399,The Waiting Room,2012,81,7.1,3
307,307,1104678,1000 Journals,2007,88,7.7,3
1409,1409,258967,The Unsaid,2001,111,6.7,2
386,386,478116,China Blue,2005,86,7.6,3
2129,2129,963966,The Sorcerer's Apprentice,2010,109,6.1,0
1524,1524,278823,Hollywood Ending,2002,112,6.6,1
32,32,807956,Occupation 101,2006,90,8.4,3
2369,2369,800320,Clash of the Titans,2010,106,5.8,0
1640,1640,283952,Blue Hill Avenue,2001,128,6.5,2
849,849,839938,Out of the Blue,2006,103,7.2,2
1853,1853,117202,Normal Life,1996,101,6.3,2
1656,1656,450340,Unknown,2006,85,6.5,2
1567,1567,1568926,I Am Comic,2010,87,6.6,3
2087,2087,144640,Three to Tango,1999,98,6.1,1
755,755,1529666,Trek Nation,2011,88,7.3,3
2011,2011,1195478,The Five-Year Engagement,2012,124,6.2,1
1006,1006,1422757,Steal This Film,2006,32,7.1,3
1925,1925,2023714,Sun Don't Shine,2012,90,6.3,2
1060,1060,110478,Maverick,1994,127,7.0,0
2702,2702,460557,The Prince of Soap,2006,97,5.3,1
1491,1491,3962828,In the Basement,2014,81,6.7,3
1309,1309,800080,The Incredible Hulk,2008,112,6.8,0
1889,1889,455989,The Outsider,2005,85,6.3,3
598,598,905361,Protagonist,2007,90,7.4,3
1669,1669,986230,French Film,2008,87,6.5,1
55,55,1027091,Letting Go of God,2008,130,8.3,3
1677,1677,1210819,The Lone Ranger,2013,150,6.5,0
1559,1559,1185384,Not Your Typical Bigfoot Movie,2008,63,6.6,3
1254,1254,102307,Light Sleeper,1992,103,6.8,2
2179,2179,105217,Raising Cain,1992,91,6.0,2
2288,2288,402057,Beowulf & Grendel,2005,103,5.9,0
634,634,1701976,Urbanized,2011,85,7.4,3
302,302,978569,Beware the Moon: Remembering 'An American Werewolf in London',2009,98,7.7,3
644,644,2233406,Mile... Mile & a Half,2013,87,7.4,3
1247,1247,3462002,Finders Keepers,2015,82,6.9,3
1457,1457,1473832,Bridget Jones's Baby,2016,118,6.7,1
2925,2925,985593,Miss Conception,2008,104,4.6,1
1154,1154,112387,Fresh Bait,1995,115,6.9,2
1869,1869,280665,Femme Fatale,2002,114,6.3,2
2332,2332,4255626,I Kissed a Girl,2015,98,5.9,1
2438,2438,259822,0.45,2006,101,5.7,2
2194,2194,182000,The Caveman's Valentine,2001,105,6.0,2
340,340,3029558,Rurouni Kenshin Part II: Kyoto Inferno,2014,138,7.7,0
2413,2413,4401342,Love Is All: 100 Years of Love & Courtship,2014,74,5.8,3
2265,2265,113071,First Knight,1995,134,5.9,0
774,774,2124998,We're Not Broke,2012,81,7.3,3
299,299,765849,Our Daily Bread,2005,92,7.7,3
2228,2228,1439562,Orgasm Inc.,2009,73,6.0,3
1061,1061,113718,Lumi???re and Company,1995,88,7.0,3
1670,1670,1014763,Child 44,2015,137,6.5,2
1582,1582,1937269,One Small Hitch,2013,105,6.6,1
3087,3087,2940482,American Justice,2017,83,2.6,0
2000,2000,499455,Day Night Day Night,2006,94,6.2,2
1345,1345,1486834,What If,2013,98,6.8,1
2903,2903,174982,New World Disorder,1999,94,4.7,0
1622,1622,119567,The Lost World: Jurassic Park,1997,129,6.5,0
1475,1475,2249221,Zulu,2013,110,6.7,2
2336,2336,104438,Honeymoon in Vegas,1992,96,5.8,1
2691,2691,220331,Besotted,2001,92,5.3,1
365,365,139193,"The Farm: Angola, USA",1998,88,7.6,3
2852,2852,135161,Bhai,1997,147,4.9,0
2775,2775,2388759,Love & Air Sex,2013,91,5.2,1
305,305,1031928,Her Name Is Sabine,2007,85,7.7,3
2393,2393,1758795,The To Do List,2013,104,5.8,1
923,923,4900018,Keith Richards: Under the Influence,2015,81,7.2,3
1092,1092,805576,Jar City,2006,93,7.0,2
1803,1803,1291570,Solace,2015,101,6.4,2
737,737,1002535,Bomb It,2007,93,7.3,3
2936,2936,249380,Rape Me,2000,77,4.5,2
1990,1990,413300,Spider-Man 3,2007,139,6.2,0
2725,2725,2251662,Wu Dang,2012,100,5.3,0
310,310,1261422,RR,2007,111,7.7,3
1347,1347,1539489,A Fierce Green Fire,2012,101,6.8,3
247,247,1332023,Mary Pickford: The Muse of the Movies,2008,102,7.8,3
1619,1619,114502,The Unfish,1997,90,6.5,1
463,463,120324,A Simple Plan,1998,121,7.5,2
528,528,2222584,In No Great Hurry: 13 Lessons in Life with Saul Leiter,2014,75,7.5,3
1422,1422,367097,Straight-Jacket,2004,96,6.7,1
1804,1804,1306972,Enlighten Up!,2008,82,6.4,3
445,445,2625030,New World,2013,134,7.6,2
1304,1304,478087,21,2008,123,6.8,2
128,128,113104,Frank and Ollie,1995,89,8.0,3
1052,1052,5275828,Lo and Behold: Reveries of the Connected World,2016,98,7.1,3
2817,2817,105593,The Tigress,1992,83,5.0,2
1405,1405,232083,Merci pour le Chocolat,2000,101,6.7,2
2021,2021,1477173,Where the Road Meets the Sun,2011,93,6.2,2
1058,1058,103776,Batman Returns,1992,126,7.0,0
1705,1705,2385195,Rhymes for Young Ghouls,2013,88,6.5,2
799,799,5662932,Raman Raghav 2.0,2016,133,7.3,2
127,127,112267,A.K.A. Don Bonus,1995,65,8.0,3
3039,3039,3220528,Age of Kill,2015,86,3.7,0
2863,2863,1472082,Getting That Girl,2011,91,4.9,1
2440,2440,282695,Lone Hero,2002,90,5.7,0
2553,2553,3013126,One Night Surprise,2013,106,5.6,1
236,236,906743,Forever,2006,97,7.8,3
2984,2984,858433,Diamond Dogs,2007,94,4.2,0
2608,2608,2258233,$ellebrity,2012,89,5.5,3
1892,1892,815244,Sydney White,2007,108,6.3,1
407,407,1266093,NoBody's Perfect,2008,84,7.6,3
2900,2900,115684,Bird of Prey,1995,105,4.7,2
246,246,1326247,Mine,2009,80,7.8,3
2282,2282,323033,Laws of Attraction,2004,90,5.9,1
1387,1387,107302,Kalifornia,1993,117,6.7,2
2692,2692,240900,Slackers,2002,86,5.3,1
1404,1404,220157,When Brendan Met Trudy,2000,95,6.7,1
2557,2557,3522806,Mechanic: Resurrection,2016,98,5.6,0
1338,1338,1330607,If You Are the One,2008,130,6.8,1
9,9,2294819,Souls of Zen,2012,89,8.7,3
1025,1025,1981107,The Young and Prodigious T.S. Spivet,2013,105,7.1,0
982,982,800191,The Sci-Fi Boys,2006,80,7.1,3
416,416,1356790,I Am Divine,2013,90,7.6,3
2174,2174,4432058,The Deal,2015,102,6.1,2
2981,2981,318081,A Sound of Thunder,2005,101,4.2,0
1624,1624,119717,Mr. Jealousy,1997,103,6.5,1
1992,1992,424287,The Mostly Unfabulous Social Life of Ethan Green,2005,88,6.2,1
1252,1252,5129768,Christ Lives in Siberia,2015,85,6.9,3
1862,1862,144214,The General's Daughter,1999,116,6.3,2
315,315,1528734,Food Matters,2008,80,7.7,3
1605,1605,4019426,Brotherhood of Blades,2014,111,6.6,0
3086,3086,2381962,Hansel & Gretel: Warriors of Witchcraft,2013,83,2.6,0
1072,1072,291507,A Cab for Three,2001,90,7.0,2
1311,1311,829193,Honeydripper,2007,124,6.8,2
2328,2328,2378587,When Jews Were Funny,2013,89,5.9,3
1810,1810,1372746,Waiting for Armageddon,2009,74,6.4,3
2649,2649,462396,The Last Legion,2007,101,5.4,0
2447,2447,473356,The Flock,2007,105,5.7,2
284,284,369258,Bal-Can-Can,2005,89,7.7,0
1974,1974,243931,Good Advice,2001,93,6.2,1
2851,2851,123808,Don Juan,1998,104,4.9,1
759,759,1638355,The Man from U.N.C.L.E.,2015,116,7.3,0
1544,1544,473075,Prince of Persia: The Sands of Time,2010,116,6.6,0
1346,1346,1519402,Taqwacore: The Birth of Punk Islam,2009,80,6.8,3
2314,2314,1301706,Ticket to Romance,2008,104,5.9,1
988,988,1020938,Babies,2010,79,7.1,3
150,150,1601463,Brooklyn Boheme,2011,75,8.0,3
599,599,926762,Loft,2008,118,7.4,2
1511,1511,119668,Midnight in the Garden of Good and Evil,1997,155,6.6,2
1211,1211,1326194,Beer Wars,2009,89,6.9,3
164,164,190332,"Crouching Tiger, Hidden Dragon",2000,120,7.9,0
1501,1501,107027,Godzilla vs. Mechagodzilla II,1993,108,6.6,0
826,826,265212,Grateful Dawg,2000,81,7.2,3
2443,2443,366598,I Accuse,2003,95,5.7,2
426,426,1753549,Buck,2011,88,7.6,3
404,404,1221143,My First War,2008,82,7.6,3
1986,1986,374308,United,2003,85,6.2,1
3021,3021,1079372,Midnight Chronicles,2009,100,3.8,0
998,998,1280567,Last Stop 174,2008,110,7.1,2
1783,1783,831387,Godzilla,2014,123,6.4,0
31,31,379269,Dying at Grace,2003,148,8.4,3
3066,3066,2140423,Sorrow,2015,91,3.2,2
2139,2139,1152834,Pageant,2008,85,6.1,3
2610,2610,2321249,Decoding Deepak,2012,83,5.5,3
3023,3023,1579232,Freerunner,2011,87,3.8,0
2628,2628,113986,Nine Months,1995,103,5.4,1
2285,2285,355295,The Brothers Grimm,2005,118,5.9,0
693,693,145487,Spider-Man,2002,121,7.3,0
1074,1074,338357,Power and Terror: Noam Chomsky in Our Times,2002,74,7.0,3
880,880,1333994,Fat Head,2009,104,7.2,3
2352,2352,221218,The Glass House,2001,106,5.8,2
1340,1340,1343394,Lunch Break,2008,83,6.8,3
1070,1070,270291,Coral Reef Adventure,2003,45,7.0,3
2832,2832,762145,Vice,2008,99,5.0,2
648,648,2361042,Three Sisters,2012,153,7.4,3
2606,2606,1727523,My Amityville Horror,2012,88,5.5,3
434,434,2008513,First Position,2011,95,7.6,3
3091,3091,1698651,American Idiots,2013,92,2.2,1
2889,2889,1272013,Brain Drain,2009,104,4.8,1
2678,2678,109917,Golden Gate,1993,91,5.3,2
1042,1042,2732932,The Kill Team,2013,79,7.1,3
2545,2545,1817081,A Case of You,2013,89,5.6,1
1379,1379,3983266,Aanmodderfakker,2014,100,6.8,1
871,871,1222815,Chimpanzee,2012,78,7.2,3
2621,2621,102996,Strictly Business,1991,83,5.4,1
770,770,1817273,The Place Beyond the Pines,2012,140,7.3,2
115,115,2267998,Gone Girl,2014,149,8.1,2
1517,1517,179074,American Pimp,1999,87,6.6,3
1218,1218,1565958,Romantics Anonymous,2010,80,6.9,1
1322,1322,1040007,America the Beautiful,2007,105,6.8,3
2524,2524,809504,The Accidental Husband,2008,90,5.6,1
143,143,1097256,Please Vote for Me,2007,58,8.0,3
1914,1914,1636849,Chasing Madoff,2010,91,6.3,3
1689,1689,1529569,Beautiful Lies,2010,105,6.5,1
425,425,1741225,I Am,2010,78,7.6,3
663,663,3892434,That Sugar Film,2014,90,7.4,3
1507,1507,113228,Grumpier Old Men,1995,101,6.6,1
1288,1288,352531,The Loser Takes All,2002,121,6.8,0
1225,1225,1772382,The Forgotten Space,2010,112,6.9,3
500,500,1018728,Heart Like a Hand Grenade,2015,96,7.5,3
52,52,395441,Aging Out,2004,85,8.3,3
2821,2821,120836,Lost & Found,1999,95,5.0,1
803,803,102592,One False Move,1992,105,7.2,2
371,371,289992,The Life of David Gale,2003,130,7.6,2
1985,1985,367959,Hannibal Rising,2007,121,6.2,2
1635,1635,206742,Fast Food Fast Women,2000,95,6.5,1
3027,3027,5039822,Addicted to Sexting,2015,80,3.8,3
863,863,1117394,Transcendent Man,2009,83,7.2,3
227,227,461674,Homemade Hillbilly Jam,2005,80,7.8,3
1878,1878,382765,Jindabyne,2006,123,6.3,2
1165,1165,167137,The One and Only,1999,106,6.9,1
2652,2652,965400,8 Days to Premiere,2008,107,5.4,1
1849,1849,102598,Only the Lonely,1991,104,6.3,1
2556,2556,3254796,Big Stone Gap,2014,103,5.6,1
1851,1851,110997,The River Wild,1994,111,6.3,0
1445,1445,1156326,The Nun,2007,57,6.7,3
2789,2789,129884,Dog Park,1998,91,5.1,1
1901,1901,1204953,PoliWood,2009,90,6.3,3
1233,1233,2114490,The Woman Who Wasn't There,2012,65,6.9,3
709,709,381936,Bummer,2003,110,7.3,2
440,440,2351524,La educaci???n prohibida,2012,121,7.6,3
2555,2555,3220192,The Master Plan,2015,91,5.6,0
2127,2127,947802,Lakeview Terrace,2008,110,6.1,2
777,777,2281365,Mortified Nation,2013,84,7.3,3
2733,2733,4332812,Crisis Call,2015,73,5.3,2
2857,2857,814331,Spring Breakdown,2009,84,4.9,1
3064,3064,929742,Deep Gold 3D,2011,86,3.2,0
1170,1170,259340,Gr???goire Moulin contre l'humanit???,2001,90,6.9,1
1823,1823,2140619,Two Night Stand,2014,86,6.4,1
2449,2449,770752,Fool's Gold,2008,112,5.7,0
1049,1049,4817256,The Red Spider,2015,90,7.1,2
1003,1003,1348997,Menschliches Versagen,2008,91,7.1,3
910,910,3090252,Dinosaur 13,2014,95,7.2,3
2996,2996,780645,War of the Dead,2011,86,4.1,0
3044,3044,303017,Scorcher,2002,91,3.6,0
406,406,1253565,Between the Folds,2008,56,7.6,3
2860,2860,1266542,The Break-Up Artist,2009,105,4.9,1
197,197,1890383,Debtocracy,2011,75,7.9,3
2654,2654,1225302,The Big I Am,2010,105,5.4,2
464,464,137355,O Amor Natural,1996,76,7.5,3
2941,2941,880570,The Ministers,2009,89,4.5,2
93,93,338564,Infernal Affairs,2002,101,8.1,2
903,903,2306687,Orania,2013,93,7.2,3
1710,1710,2678448,Hey Bartender,2013,92,6.5,3
2300,2300,486946,Wild Hogs,2007,100,5.9,0
410,410,1273222,These Amazing Shadows,2011,88,7.6,3
1110,1110,1361835,The Silence,2010,118,7.0,2
717,717,455949,Favela Rising,2005,80,7.3,3
2236,2236,1772230,1911,2011,121,6.0,0
3001,3001,174741,Hitman's Run,1999,93,4.0,0
1861,1861,131566,Rogue Trader,1999,101,6.3,2
378,378,385004,House of Flying Daggers,2004,119,7.6,0
2595,2595,959329,Nine Dead,2010,98,5.5,2
2452,2452,817230,Valentine's Day,2010,125,5.7,1
374,374,337868,Beyond the Gates of Splendor,2002,96,7.6,3
2790,2790,154030,Seventh Heaven,1993,94,5.1,1
2571,2571,118840,The Manson Family,1997,95,5.5,2
2001,2001,758017,Steel Toes,2007,87,6.2,2
27,27,407887,The Departed,2006,151,8.5,2
2990,2990,2320073,A Viking Saga: The Darkest Day,2013,88,4.2,0
625,625,1510934,Starsuckers,2009,103,7.4,3
2766,2766,988849,Donkey Punch,2008,99,5.2,2
1293,1293,401855,Underworld: Evolution,2006,106,6.8,0
611,611,1229238,Mission: Impossible - Ghost Protocol,2011,132,7.4,0
